employee_id,project_id,allocation_start_date,bench_days,utilization_status
EMP1000,PRJ101,2025-02-05,7,Billed
EMP1001,,2022-02-10,23,Bench
EMP1002,PRJ115,2023-11-21,8,Training
EMP1003,,2024-01-04,31,Bench
EMP1004,,2022-10-01,35,Bench
EMP1005,PRJ108,2024-11-20,2,Billed
EMP1006,,2020-12-25,18,Bench
EMP1007,,2021-03-29,17,Bench
EMP1008,PRJ143,2025-02-21,11,Billed
EMP1009,,2026-06-01,67,Bench
EMP1010,,2019-01-13,43,Bench
EMP1011,,2023-12-06,29,Bench
EMP1012,,2023-04-15,31,Bench
EMP1013,PRJ137,2024-03-05,15,Billed
EMP1014,,2025-08-31,63,Bench
EMP1015,,2025-01-26,29,Bench
EMP1016,,2024-05-05,32,Bench
EMP1017,,2018-10-06,49,Bench
EMP1018,PRJ102,2023-04-13,8,Training
EMP1019,,2024-06-29,41,Bench
EMP1020,PRJ105,2020-12-23,5,Billed
EMP1021,PRJ114,2024-10-20,10,Billed
EMP1022,PRJ135,2025-02-13,10,Billed
EMP1023,,2019-05-26,96,Bench
EMP1024,,2025-05-06,48,Bench
EMP1025,,2025-09-23,30,Bench
EMP1026,,2025-02-26,32,Bench
EMP1027,,2018-10-22,20,Bench
EMP1028,,2023-06-09,73,Bench
EMP1029,,2023-02-12,17,Bench
EMP1030,PRJ145,2023-08-15,11,Billed
EMP1031,PRJ114,2026-02-10,4,Training
EMP1032,,2021-11-27,38,Bench
EMP1033,,2022-05-24,33,Bench
EMP1034,PRJ137,2020-03-24,12,Training
EMP1035,PRJ100,2019-08-24,0,Training
EMP1036,,2025-09-30,45,Bench
EMP1037,PRJ144,2022-10-30,0,Billed
EMP1038,,2024-10-14,30,Bench
EMP1039,,2021-08-21,87,Bench
EMP1040,PRJ121,2019-07-04,14,Training
EMP1041,PRJ109,2022-11-05,6,Training
EMP1042,,2021-04-29,30,Bench
EMP1043,,2019-10-06,42,Bench
EMP1044,,2024-06-15,19,Bench
EMP1045,,2020-08-20,85,Bench
EMP1046,PRJ148,2023-04-05,1,Billed
EMP1047,,2023-08-27,17,Bench
EMP1048,,2021-08-03,31,Bench
EMP1049,,2025-07-27,49,Bench
EMP1050,PRJ106,2023-04-12,4,Training
EMP1051,,2025-05-22,40,Bench
EMP1052,,2020-08-30,20,Bench
EMP1053,PRJ124,2025-09-26,12,Billed
EMP1054,PRJ122,2023-07-14,3,Billed
EMP1055,,2019-09-18,50,Bench
EMP1056,PRJ138,2025-05-19,4,Training
EMP1057,PRJ102,2022-11-11,9,Training
EMP1058,PRJ134,2025-01-06,8,Training
